# theta_E,e1_mass,e2_mass,R_sersic_src,n_sersic_src,e1_src,e2_src,center_x_src,center_y_src,R_sersic_lens,n_sersic_lens,e1_lens,e2_lens
2.935762405395507812e+00,-3.191533386707305908e-01,-1.402948647737503052e-01,1.716162443161010742e+00,2.084681034088134766e+00,1.757116317749023438e-01,-7.778710722923278809e-01,-2.733139097690582275e-01,-1.360229849815368652e-01,5.650226473808288574e-01,3.349184036254882812e+00,2.331525981426239014e-01,1.689401715993881226e-01
1.991257548332214355e+00,8.001669496297836304e-02,-7.328281551599502563e-02,1.110272645950317383e+00,2.259492158889770508e+00,1.941379606723785400e-01,2.644053697586059570e-01,-5.196186304092407227e-01,3.814728856086730957e-01,5.187649726867675781e-01,3.404247522354125977e+00,4.864585995674133301e-01,-1.554901152849197388e-01
5.404434800148010254e-01,4.053994640707969666e-02,1.069524809718132019e-01,9.101393222808837891e-01,1.021077871322631836e+00,-3.643290698528289795e-01,-1.154132336378097534e-01,8.335410617291927338e-03,-1.180151104927062988e-01,3.903145790100097656e-01,4.105130672454833984e+00,2.669416368007659912e-01,-5.515635758638381958e-02
2.636724412441253662e-01,7.216539978981018066e-01,1.522095501422882080e-01,9.916830658912658691e-01,1.478287220001220703e+00,-4.313983917236328125e-01,-7.918816059827804565e-03,2.085746824741363525e-02,7.180137932300567627e-02,1.255081892013549805e+00,4.073746681213378906e+00,3.613357543945312500e-01,-3.166860342025756836e-01
1.583510756492614746e+00,4.171273112297058105e-01,3.826120495796203613e-02,4.978674948215484619e-01,1.943778514862060547e+00,-3.968967199325561523e-01,-1.720391213893890381e-01,-1.622002273797988892e-01,3.772657513618469238e-01,1.036545276641845703e+00,4.559175014495849609e+00,1.534460037946701050e-01,-3.421781957149505615e-01
7.429321408271789551e-01,4.448937177658081055e-01,-2.251386493444442749e-01,1.809169292449951172e+00,8.935536146163940430e-01,-2.066973969340324402e-02,2.051873207092285156e-01,-9.676262140274047852e-01,-3.523237109184265137e-01,9.670011401176452637e-01,4.499280452728271484e+00,-1.269105523824691772e-01,6.610475182533264160e-01
2.870008468627929688e+00,-3.365027308464050293e-01,7.528799027204513550e-02,1.808251380920410156e+00,1.241572618484497070e+00,-1.024815514683723450e-01,-2.315203286707401276e-02,7.216966245323419571e-03,-5.568034052848815918e-01,1.734840154647827148e+00,3.875083208084106445e+00,-8.448355644941329956e-02,-3.932372033596038818e-01
2.840502500534057617e+00,7.461079955101013184e-02,-5.432213842868804932e-02,1.825427532196044922e+00,1.602525949478149414e+00,2.868601381778717041e-01,-5.692638158798217773e-01,-6.576179265975952148e-01,7.201484441757202148e-01,1.703461289405822754e+00,3.678811073303222656e+00,2.994730472564697266e-01,3.150556236505508423e-02
9.164997935295104980e-01,1.183229759335517883e-01,-3.226803541183471680e-01,3.838200271129608154e-01,9.437605142593383789e-01,-5.544359087944030762e-01,2.099099010229110718e-02,4.896426200866699219e-01,-3.521733283996582031e-01,4.966474771499633789e-01,3.331543922424316406e+00,-7.400458306074142456e-02,3.572329506278038025e-02
4.221033453941345215e-01,-1.103430315852165222e-01,4.585367441177368164e-01,7.149841189384460449e-01,1.882835865020751953e+00,1.082587093114852905e-01,-3.149572014808654785e-01,4.798886477947235107e-01,2.558841407299041748e-01,5.225977301597595215e-01,4.016744136810302734e+00,-5.059985518455505371e-01,-7.884176373481750488e-01
1.531460881233215332e+00,5.055628418922424316e-01,2.449097037315368652e-01,2.069048881530761719e-01,4.524661600589752197e-01,1.336610913276672363e-01,-2.738079428672790527e-01,7.600443959236145020e-01,9.305434823036193848e-01,1.584780931472778320e+00,4.180968284606933594e+00,1.985489279031753540e-01,-5.384882092475891113e-01
2.557021379470825195e+00,-7.245177030563354492e-02,-1.651628762483596802e-01,8.869051933288574219e-01,9.541944861412048340e-01,4.991603195667266846e-01,-7.220940291881561279e-02,3.040161132812500000e-01,-2.796448469161987305e-01,4.297625273466110229e-02,4.105527877807617188e+00,1.589563339948654175e-01,-1.595446318387985229e-01
